2013-10-01 00:00:00	2013-10-01 23:59:00	1
2013-10-02 00:00:00	2013-10-02 23:59:00	2
2013-10-03 00:00:00	2013-10-03 23:59:00	3
2013-10-04 00:00:00	2013-10-04 23:59:00	4
2013-10-05 00:00:00	2013-10-05 23:59:00	5
2013-10-06 00:00:00	2013-10-06 23:59:00	6
2013-10-07 00:00:00	2013-10-07 23:59:00	7
2013-10-08 00:00:00	2013-10-08 23:59:00	8
2013-10-09 00:00:00	2013-10-09 23:59:00	9
2013-10-10 00:00:00	2013-10-10 23:59:00	10
2013-10-11 00:00:00	2013-10-11 23:59:00	11
2013-10-12 00:00:00	2013-10-12 23:59:00	12
2013-10-13 00:00:00	2013-10-13 23:59:00	13
2013-10-14 00:00:00	2013-10-14 23:59:00	14
2013-10-15 00:00:00	2013-10-15 23:59:00	15
2013-10-16 00:00:00	2013-10-16 23:59:00	16
2013-10-17 00:00:00	2013-10-17 23:59:00	17
2013-10-18 00:00:00	2013-10-18 23:59:00	18
2013-10-19 00:00:00	2013-10-19 23:59:00	19
2013-10-20 00:00:00	2013-10-20 23:59:00	20
2013-10-21 00:00:00	2013-10-21 23:59:00	21
2013-10-22 00:00:00	2013-10-22 23:59:00	22
2013-10-23 00:00:00	2013-10-23 23:59:00	23
2013-10-24 00:00:00	2013-10-24 23:59:00	24
2013-10-25 00:00:00	2013-10-25 23:59:00	25
2013-10-26 00:00:00	2013-10-26 23:59:00	26
2013-10-27 00:00:00	2013-10-27 23:59:00	27
2013-10-28 00:00:00	2013-10-28 23:59:00	28
2013-10-29 00:00:00	2013-10-29 23:59:00	29
2013-10-30 00:00:00	2013-10-30 23:59:00	30
2013-10-31 00:00:00	2013-10-31 23:59:00	31
